trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
166,False,"{'a': 0.5, 'e': 0.00020050189330723204}",30,1,26.7069887332452,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.00019047679864187043}",25,0,-25.936005998115984,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.0001809529587097769}",30,0,38.83850268434247,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.00017190531077428806}",25,0,31.268710146551665,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.00016331004523557362}",25,5,24.839681414087558,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.00015514454297379493}",30,0,41.440964807523535,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.00014738731582510518}",20,0,27.241454263153233,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.0001400179500338499}",20,0,24.969634610638828,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.00013301705253215742}",20,0,11.897895997404632,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.00012636619990554954}",20,6,25.576603028326016,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.00012004788991027206}",20,0,22.41487894310305,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.00011404549541475845}",20,10,14.70190412211744,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.00010834322064402053}",25,0,36.32438432427894,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.00010292605961181949}",25,11,20.2649273164166,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 9.777975663122851e-05}",20,0,27.244941232187358,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
181,False,"{'a': 0.5, 'e': 9.289076879966709e-05}",25,0,22.578203883113552,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
182,False,"{'a': 0.5, 'e': 8.824623035968373e-05}",20,0,28.121800712374764,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
183,False,"{'a': 0.5, 'e': 8.383391884169954e-05}",30,19,14.489691061818297,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 7.964222289961456e-05}",20,0,-17.978636796583228,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
185,False,"{'a': 0.5, 'e': 7.566011175463383e-05}",30,1,44.18612702347701,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 7.187710616690214e-05}",20,0,23.528477118598374,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
187,False,"{'a': 0.5, 'e': 6.828325085855701e-05}",20,10,15.825978509513819,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 6.486908831562916e-05}",20,0,22.306298406389235,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
189,False,"{'a': 0.5, 'e': 6.16256338998477e-05}",20,11,10.400368546461634,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 5.8544352204855315e-05}",25,0,33.307284999127226,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
191,False,"{'a': 0.5, 'e': 5.561713459461255e-05}",20,0,27.539529959344478,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
192,False,"{'a': 0.5, 'e': 5.283627786488192e-05}",20,13,10.803905728730346,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 5.0194463971637824e-05}",20,0,23.449492572535483,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
194,False,"{'a': 0.5, 'e': 4.7684740773055926e-05}",25,17,13.262171748428164,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 4.530050373440313e-05}",35,14,21.50818939962953,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 4.303547854768297e-05}",20,0,27.204988700999426,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
197,False,"{'a': 0.5, 'e': 4.088370462029882e-05}",25,14,17.689802299480984,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 3.883951938928388e-05}",20,0,23.42304329564095,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
199,False,"{'a': 0.5, 'e': 3.6897543419819684e-05}",35,12,33.2346603288831,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 3.50526662488287e-05}",20,16,6.375969415367242,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 3.3300032936387256e-05}",25,19,9.527885563455026,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 3.163503128956789e-05}",20,0,-14.666906415610633,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
203,False,"{'a': 0.5, 'e': 3.0053279725089498e-05}",20,6,24.316609535346885,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 2.8550615738835024e-05}",35,7,42.34763931365262,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 2.712308495189327e-05}",20,8,21.673042112867744,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 2.5766930704298606e-05}",25,15,16.118551387360117,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 2.4478584169083673e-05}",20,0,25.90539332016254,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
208,False,"{'a': 0.5, 'e': 2.3254654960629488e-05}",20,0,23.260066278117396,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
209,False,"{'a': 0.5, 'e': 2.2091922212598014e-05}",30,0,42.04376623685148,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
210,False,"{'a': 0.5, 'e': 2.0987326101968112e-05}",30,0,36.81793795505179,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 1.9937959796869707e-05}",30,20,19.151660320703296,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 1.894106180702622e-05}",20,0,29.449712038027585,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
213,False,"{'a': 0.5, 'e': 1.7994008716674908e-05}",25,0,32.2939513204514,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
214,False,"{'a': 0.5, 'e': 1.709430828084116e-05}",25,7,27.22453158200173,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 1.6239592866799102e-05}",30,0,39.47215371781211,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
216,False,"{'a': 0.5, 'e': 1.5427613223459147e-05}",30,0,-9.217918115426183,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
217,False,"{'a': 0.5, 'e': 1.465623256228619e-05}",25,15,19.122235313348675,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
