trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1042,False,"{'a': 0.5, 'e': 0.04368727543969896}",30,19,20.966775221627813,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1043,False,"{'a': 0.5, 'e': 0.043556213613379864}",20,13,10.172262605640578,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1044,False,"{'a': 0.5, 'e': 0.043425544972539726}",20,12,13.896909094734937,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1045,False,"{'a': 0.5, 'e': 0.0432952683376221}",30,13,29.15315795402415,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1046,False,"{'a': 0.5, 'e': 0.04316538253260924}",30,17,18.332437456141637,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1047,False,"{'a': 0.5, 'e': 0.04303588638501141}",20,3,24.291905556758753,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1048,False,"{'a': 0.5, 'e': 0.042906778725856375}",20,15,10.941915509466401,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1049,False,"{'a': 0.5, 'e': 0.042778058389678804}",25,1,30.849073291884807,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
1050,False,"{'a': 0.5, 'e': 0.04264972421450977}",25,11,25.528448229353327,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1051,False,"{'a': 0.5, 'e': 0.04252177504186624}",25,13,20.622639389084483,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1052,False,"{'a': 0.5, 'e': 0.04239420971674064}",25,13,12.765325339093293,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1053,False,"{'a': 0.5, 'e': 0.04226702708759042}",20,10,18.571994171525112,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1054,False,"{'a': 0.5, 'e': 0.04214022600632765}",30,6,28.63181054096284,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
1055,False,"{'a': 0.5, 'e': 0.042013805328308666}",30,5,33.51612002583477,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
1056,False,"{'a': 0.5, 'e': 0.04188776391232374}",30,17,24.71189227868662,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1057,False,"{'a': 0.5, 'e': 0.041762100620586766}",25,15,17.493120267816423,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1058,False,"{'a': 0.5, 'e': 0.041636814318725006}",30,20,13.4103241470729,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1059,False,"{'a': 0.5, 'e': 0.041511903875768835}",25,17,16.491048280798292,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1060,False,"{'a': 0.5, 'e': 0.04138736816414153}",25,10,28.687705808379537,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1061,False,"{'a': 0.5, 'e': 0.0412632060596491}",20,16,7.53764083241121,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1062,False,"{'a': 0.5, 'e': 0.04113941644147015}",20,1,32.4597719427426,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1063,False,"{'a': 0.5, 'e': 0.04101599819214574}",20,0,5.090097324995547,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
1064,False,"{'a': 0.5, 'e': 0.040892950197569305}",25,20,7.97536747175617,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1065,False,"{'a': 0.5, 'e': 0.0407702713469766}",20,11,17.156948862050356,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1066,False,"{'a': 0.5, 'e': 0.04064796053293567}",25,11,25.542727366988085,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1067,False,"{'a': 0.5, 'e': 0.04052601665133686}",20,13,11.490000103608104,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1068,False,"{'a': 0.5, 'e': 0.04040443860138285}",20,8,20.155101826627163,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1069,False,"{'a': 0.5, 'e': 0.0402832252855787}",20,0,27.691558851355794,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1070,False,"{'a': 0.5, 'e': 0.04016237560972197}",20,13,14.849628427993657,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1071,False,"{'a': 0.5, 'e': 0.0400418884828928}",20,10,15.322438287847676,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1072,False,"{'a': 0.5, 'e': 0.03992176281744412}",20,13,6.625104411416301,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
1073,False,"{'a': 0.5, 'e': 0.03980199752899179}",20,8,25.299641429219506,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1074,False,"{'a': 0.5, 'e': 0.03968259153640481}",25,13,24.87178839083642,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1075,False,"{'a': 0.5, 'e': 0.0395635437617956}",20,6,15.341203058200646,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1076,False,"{'a': 0.5, 'e': 0.03944485313051021}",20,5,25.402699506904245,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1077,False,"{'a': 0.5, 'e': 0.03932651857111868}",25,10,22.2201343807459,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
